route_id,lat,lng,city,state_id,zip,state_name,county_name,county_names_all,route_type,Zone Name
,30.1929,-81.50309,Jacksonville,FL,32256,Florida,Duval,Duval,Local,Central
,30.19515,-81.6123,Jacksonville,FL,32257,Florida,Duval,Duval,Local,Central
,30.13874,-81.54941,Jacksonville,FL,32258,Florida,Duval,Duval,Local,Central
,30.07109,-81.6029,Saint Johns,FL,32259,Florida,St. Johns,St. Johns|Duval,Local,Central
,30.31648,-81.41177,Neptune Beach,FL,32266,Florida,Duval,Duval,Local,Central
,30.3728,-81.59465,Jacksonville,FL,32277,Florida,Duval,Duval,Local,Central
,30.42701,-84.25799,Tallahassee,FL,32301,Florida,Leon,Leon,Local,Central
,30.51237,-84.34386,Tallahassee,FL,32303,Florida,Leon,Leon,Local,Central
,30.45346,-84.35314,Tallahassee,FL,32304,Florida,Leon,Leon,Local,Central
,30.3337,-84.26977,Tallahassee,FL,32305,Florida,Leon,Leon,Local,Central
,30.4781,-84.21968,Tallahassee,FL,32308,Florida,Leon,Leon,Local,Central
,30.57174,-84.10128,Tallahassee,FL,32309,Florida,Leon,Leon,Local,Central
,30.39924,-84.50694,Tallahassee,FL,32310,Florida,Leon,Leon,Local,Central
,30.39647,-84.16843,Tallahassee,FL,32311,Florida,Leon,Leon,Local,Central
,30.60421,-84.23996,Tallahassee,FL,32312,Florida,Leon,Leon,Local,Central
,30.46746,-84.11442,Tallahassee,FL,32317,Florida,Leon,Leon,Local,Central
,29.74232,-85.06938,Apalachicola,FL,32320,Florida,Franklin,Franklin,Local,Central
,30.26196,-84.9891,Bristol,FL,32321,Florida,Liberty,Liberty|Franklin,Local,Central
,29.89948,-84.62327,Carrabelle,FL,32322,Florida,Franklin,Franklin,Local,Central
,29.89185,-84.6122,Lanark Village,FL,32323,Florida,Franklin,Franklin,Local,Central
,30.65635,-84.79126,Chattahoochee,FL,32324,Florida,Gadsden,Gadsden,Local,Central
,30.18705,-84.30472,Crawfordville,FL,32327,Florida,Wakulla,Wakulla,Local,Central
,29.8463,-84.90991,Eastpoint,FL,32328,Florida,Franklin,Franklin,Local,Central
,30.57859,-84.74799,Greensboro,FL,32330,Florida,Gadsden,Gadsden,Local,Central
,30.45851,-83.6294,Greenville,FL,32331,Florida,Madison,Madison|Taylor|Jefferson,Local,Central
,30.61168,-84.6657,Gretna,FL,32332,Florida,Gadsden,Gadsden,Local,Central
,30.60677,-84.41249,Havana,FL,32333,Florida,Gadsden,Gadsden,Local,Central
,30.2612,-84.75835,Hosford,FL,32334,Florida,Liberty,Liberty,Local,Central
,30.26371,-83.86319,Lamont,FL,32336,Florida,Taylor,Taylor|Jefferson|Madison,Local,Central
,30.48307,-84.02104,Lloyd,FL,32337,Florida,Jefferson,Jefferson,Local,Central
,30.45651,-83.42667,Madison,FL,32340,Florida,Madison,Madison,Local,Central
,30.48515,-84.47652,Midway,FL,32343,Florida,Gadsden,Gadsden,Local,Central
